title,url,date,source,content
Machine healing,https://news.harvard.edu/gazette/story/2025/03/how-ai-is-transforming-medicine-healthcare/,2025-03-20,Harvard Gazette,"Photo illustrations by Judy Blomquist/Harvard Staff Alvin Powell Harvard Staff Writer When Adam Rodman was a second-year medical student in the 2000s, he visited the library for a patient whose illness had left doctors stumped. Rodman searched the catalog, copied research papers, and shared them with the team. “It made a big difference in that patient’s care,” Rodman said. “Everyone said, ‘This is so great. This is evidence-based medicine.’ But it took two hours. I can do that today in 15 seconds.” Rodman, now an assistant professor at Harvard Medical School and a doctor at Beth Israel Deaconess Medical Center, these days carries a medical library in his pocket — a smartphone app created after the release of the large language model ChatGPT in 2022. OpenEvidence — developed in part by Medical School faculty — allows him to query specific diseases and symptoms. It searches the medical literature, drafts a summary of findings, and lists the most important sources for further reading, providing answers while Rodman is still face-to-face with his patient. “We say, ‘Wow, the technology is really powerful.’ But what do we do with it to actually change things?” Artificial intelligence in various forms has been used in medicine for decades — but not like this. Experts predict that the adoption of large language models will reshape medicine. Some compare the potential impact with the decoding of the human genome, even the rise of the internet. The impact is expected to show up in doctor-patient interactions, physicians’ paperwork load, hospital and physician practice administration, medical research, and medical education. Most of these effects are likely to be positive, increasing efficiency, reducing mistakes, easing the nationwide crunch in primary care, bringing data to bear more fully on decision-making, reducing administrative burdens, and creating space for longer, deeper person-to-person interactions. Adam Rodman, assistant professor at Harvard Medical School and physician at Beth Israel Deaconess Medical Center But there are serious concerns, too. Current data sets too often reflect societal biases that reinforce gaps in access and quality of care for disadvantaged groups. Without correction, these data have the potential to cement existing biases into ever-more-powerful AI that will increasingly influence how healthcare operates. Another important issue, experts say, is that AIs remain prone to “hallucination,” making up “facts” and presenting them as if they are real. Then there’s the danger that medicine won’t be bold enough. The latest AI has the potential to remake healthcare top to bottom, but only if given a chance. The wrong priorities — too much deference to entrenched interests, a focus on money instead of health — could easily reduce the AI “revolution” to an underwhelming exercise in tinkering around the edges. “I think we’re in this weird space,” Rodman said. “We say, ‘Wow, the technology is really powerful.’ But what do we do with it to actually change things? My worry, as both a clinician and a researcher, is that if we don’t think big, if we don’t try to rethink how we’ve organized medicine, things might not change that much.” Five years ago, when asked about AI in healthcare, Isaac Kohane responded with frustration. Teenagers tapping away on social media apps were better equipped than many doctors. The situation today couldn’t be more different, he says. Kohane, chair of the Medical School’s Department of Biomedical Informatics and editor-in-chief of the New England Journal of Medicine’s new AI initiative, describes the abilities of the latest models as “mind boggling.” To illustrate the point, he recalled getting an early look at OpenAI’s GPT-4. He tested it with a complex case — a child born with ambiguous genitalia — that might have stymied even an experienced endocrinologist. Kohane asked GPT-4 about genetic causes, biochemical pathways, next steps in the workup, even what to tell the child’s parents. It aced the test. “This large language model was not trained to be a doctor; it’s just trained to predict the next word,” Kohane said. “It could speak as coherently about wine pairings with a vegetarian menu as diagnose a complex patient. It was truly a quantum leap from anything that anybody in computer science who was honest with themselves would have predicted in the next 10 years.”  Isaac Kohane, chairman of Harvard Medical School’s Department of Biomedical Informatics and editor-in-chief of the New England Journal of Medicine’s new AI journal And none too soon. The U.S. healthcare system, long criticized as costly, inefficient, and inordinately focused on treatment over prevention, has been showing cracks. Kohane, recalling a faculty member new to the department who couldn’t find a primary care physician, is tired of seeing them up close. “The medical system, which I have long said is broken, is broken in extremely obvious ways in Boston,” he said. “People worry about equity problems with AI. I’m here to say we have a huge equity problem today. Unless you’re well connected and are willing to pay literally thousands of extra dollars for concierge care, you’re going to have trouble finding a timely primary care visit.” Early worries that AI would replace physicians have yielded to the realization that the system needs both AI and its human workforce, Kohane said. Teaming nurse practitioners and physician assistants with AI is one among several promising scenarios. “It is no longer a conversation about, ‘Will AI replace doctors,’ so much as, ‘Will AI, with a set of clinicians who may not look like the clinicians that we’re used to, firm up the tottering edifice that is organized medicine?’”  How LLMs were rolled out — to everyone at once — accelerated their adoption, Kohane says. Doctors immediately experimented with eye-glazing yet essential tasks, like writing prior authorization requests to insurers explaining the necessity of specific, usually expensive, treatments. “People just did it,” Kohane said. “Doctors were tweeting back and forth about all the time they were saving.” Patients did it too, seeking virtual second opinions, like the child whose recurring pain was misdiagnosed by 17 doctors over three years. In the widely publicized case, the boy’s mother entered his medical notes into ChatGPT, which suggested a condition no doctor had mentioned: tethered cord syndrome, in which the spinal cord binds inside of the backbone. When the patient moves, rather than sliding smoothly, the spinal cord stretches, causing pain. The diagnosis was confirmed by a neurosurgeon, who then corrected the anatomic anomaly. One of the perceived benefits of employing AI in the clinic, of course, is to make doctors better the first time around. Greater, faster access to case histories, suggested diagnoses, and other data is expected to improve physician performance. But plenty of work remains, a recent study shows. Research published in JAMA Network Open in October compared diagnoses delivered by an individual doctor, a doctor using an LLM diagnostic tool, and an LLM alone. The results were surprising, showing an insignificant improvement in accuracy for the physicians using the LLM — 76 percent versus 74 percent for the solitary physician. More surprisingly, the LLM by itself did best, scoring 16 percentage points higher than physicians alone. Rodman, one of the paper’s senior authors, said it’s tempting to conclude that LLMs aren’t that helpful for doctors, but he insisted that it’s important to look deeper at the findings. Only 10 percent of the physicians, he said, were experienced LLM users before the study — which took place in 2023— and the rest received only basic training. Consequently, when Rodman later looked at the transcripts, most used the LLMs for basic fact retrieval. “The best way a doctor could use it now is for a second opinion, to second-guess themselves when they have a tricky case,” he said. “How could I be wrong? What am I missing? What other questions should I ask? Those are the ways, we know from psychological literature, that complement how humans think.” Among the other potential benefits of AI is the chance to make medicine safer, according to David Bates, co-director of the Center for Artificial Intelligence and Bioinformatics Learning Systems at Mass General Brigham. A recent study by Bates and colleagues showed that as many as one in four visits to Massachusetts hospitals results in some kind of patient harm. Many of those incidents trace back to adverse drug events. “AI should be able to look for medication-related issues and identify them much more accurately than we’re able to do right now,” said Bates, who is also a professor of medicine at the Medical School and of health policy and management at the Harvard T.H. Chan School of Public Health.  David Bates, co-director of the Center for Artificial Intelligence and Bioinformatics Learning Systems at Mass General Brigham Another opportunity stems from AI’s growing competence in a mundane area: notetaking and summarization, according to Bernard Chang, dean for medical education at the Medical School. Systems for “ambient documentation” will soon be able to listen in on patient visits, record everything that is said and done, and generate an organized clinical note in real time. When symptoms are discussed, the AI can suggest diagnoses and courses of treatment. Later, the physician can review the summary for accuracy. Automation of notes and summaries would benefit healthcare workers in more than one way, Chang said. It would ease doctors’ paperwork load, often cited as a cause of burnout, and it would reset the doctor-patient relationship. One of patients’ biggest complaints about office visits is the physician sitting at the computer, asking questions and recording the answers. Freed from the note-taking process, doctors could sit face-to-face with patients, opening a path to stronger connections.   “It’s not the most magical use of AI,” Chang said. “We’ve all seen AI do something and said, ‘Wow, that’s amazing.’ This is not one of those things. But this program is being piloted at different ambulatory practices across the country and the early results are very promising. Physicians who feel overburdened and burnt out are starting to say, ‘You know what, this tool is going to help me.’”  Bernard Chang, Harvard Medical School Dean for Medical Education For all their power, LLMs are not ready to be left alone. “The technology is not good enough to have that safety level where you don’t need a knowledgeable human,” Rodman said. “I can understand where it might have gone aground. I can take a step further with the diagnosis. I can do that because I learned the hard way. In residency you make a ton of mistakes, but you learn from those mistakes. Our current system is incredibly suboptimal but it does train your brain. When people in medical school interact with things that can automate those processes — even if they’re, on average, better than humans — how are they going to learn?” Doctors and scientists also worry about bad information. Pervasive data bias stems from biomedicine’s roots in wealthy Western nations whose science was shaped by white men studying white men, says Leo Celi, an associate professor of medicine and a physician in the Division of Pulmonary, Critical Care and Sleep Medicine at Beth Israel Deaconess Medical Center. Leo Celi, associate professor of medicine and a physician in Beth Israel Deaconess Medical Center’s Division of Pulmonary, Critical Care and Sleep Medicine “You need to understand the data before you can build artificial intelligence,” Celi said. “That gives us a new perspective of the design flaws of legacy systems for healthcare delivery, legacy systems for medical education. It becomes clear that the status quo is so bad — we knew it was bad and we’ve come to accept that it is a broken system — that all the promises of AI are going bust unless we recode the world itself.” Celi cited research on disparities in care between English-speaking and non-English speaking patients hospitalized with diabetes. Non-English speakers are woken up less frequently for blood sugar checks, raising the likelihood that changes will be missed. That impact is hidden, however, because the data isn’t obviously biased, only incomplete, even though it still contributes to a disparity in care. “They have one or two blood-sugar checks compared to 10 if you speak English well,” he said. “If you average it, the computers don’t see that this is a data imbalance. There’s so much missing context that experts may not be aware of what we call ‘data artifacts.’ This arises from a social patterning of the data generation process.” Bates offered additional examples, including a skin cancer device that does a poor job detecting cancer on highly pigmented skin and a scheduling algorithm that wrongly predicted Black patients would have higher no-show rates, leading to overbooking and longer wait times. “Most clinicians are not aware that every medical device that we have is, to a certain degree, biased,” Celi said. “They don’t work well across all groups because we prototype them and we optimize them on, typically, college-age, white, male students. They were not optimized for an ICU patient who is 80 years old and has all these comorbidities, so why is there an expectation that the numbers they represent are objective ground truths?” The exposure of deep biases in legacy systems presents an opportunity to get things right, Celi said. Accordingly, more researchers are pushing to ensure that clinical trials enroll diverse populations from geographically diverse locations. One example is Beth Israel’s MIMIC database, which reflects the hospital’s diverse patient population. The tool, overseen by Celi, offers investigators de-identified electronic medical records — notes, images, test results — in an open-source format. It has been used in 10,000 studies by researchers all around the world and is set to expand to 14 additional hospitals, he said. As in the clinic, AI models used in the lab aren’t perfect, but they are opening pathways that hold promise to greatly accelerate scientific progress. “They provide instant insights at the atomic scale for some molecules that are still not accessible experimentally or that would take a tremendous amount of time and effort to generate,” said Marinka Zitnik, an associate professor of biomedical informatics at the Medical School. “These models provide in-silico predictions that are accurate, that scientists can then build upon and leverage in their scientific work. That, to me, just hints at this incredible moment that we are in.” ”What is becoming increasingly important is to develop reliable, faithful benchmarks or techniques that allow us to evaluate how well the outputs of AI models behave in the real world.”  Zitnik’s lab recently introduced Procyon, an AI model aimed at closing knowledge gaps around protein structures and their biological roles. Until recently, it has been difficult for scientists to understand a protein’s shape — how the long molecules fold and twist onto themselves in three dimensions. This is important because the twists and turns expose portions of the molecule and hide others, making those sites easier or harder for other molecules to interact with, which affects the molecule’s chemical properties. Marinka Zitnik, assistant professor of biomedical informatics Today, predicting a protein’s shape — down to nearly every atom — from its known sequence of amino acids is feasible, Zitnik said. The major challenge is linking those structures to their functions and phenotypes across various biological settings and diseases. About 20 percent of human proteins have poorly defined functions, and an overwhelming share of research — 95 percent — is devoted to just 5,000 well-studied proteins. “We are addressing this gap by connecting molecular sequences and structures with functional annotations to predict protein phenotypes, helping move the field closer to being able to in-silico predict functions for each protein,” Zitnik said. A long-term goal for AI in the lab is the development of “AI scientists” that function as research assistants, with access to the entire body of scientific literature, the ability to integrate that knowledge with experimental results, and the capacity to suggest next steps. These systems could evolve into true collaborators, Zitnik said, noting that some models have already generated simple hypotheses. Her lab used Procyon, for example, to identify domains in the maltase glucoamylase protein that bind miglitol, a drug used to treat Type 2 diabetes. In another project, the team showed that Procyon could functionally annotate poorly characterized proteins implicated in Parkinson’s disease. The tool’s broad range of capabilities is possible because it was trained on massive experimental data sets and the entire scientific literature, resources far exceeding what humans can read and analyze, Zitnik said. The classroom comes before the lab, and the AI dynamic of flexibility, innovation, and constant learning is also being applied to education. The Medical School has introduced a course dealing with AI in healthcare; added a Ph.D. track on AI in medicine; is planning a “tutor bot” to provide supplemental material beyond lectures; and is developing a virtual patient on which students can practice before their first nerve-wracking encounter with the real thing. Meanwhile, Rodman is leading a steering group on the use of generative AI in medical education. These initiatives are a good start, he said. Still, the rapid evolution of AI technology makes it difficult to prepare students for careers that will span 30 years. “The Harvard view, which is my view as well, is that we can give people the basics, but we just have to encourage agility and prepare people for a future that changes rapidly,” Rodman said. “Probably the best thing we can do is prepare people to expect the unexpected.”"
The algorithm will see you now,https://news.harvard.edu/gazette/story/2019/02/in-health-care-ai-offers-promise-and-hype/,2019-02-28,Harvard Gazette,"Ashley Nunes, a fellow at Harvard Law School, speaks during The Harvard Global Health Institute conference on AI in health care. Photos by Kris Snibbe/Harvard Staff Photographer Alvin Powell Harvard Staff Writer In 2016, a Google team announced it had used artificial intelligence to diagnose diabetic retinopathy — one of the fastest-growing causes of blindness — as well as trained eye doctors could. In December 2018, Microsoft and the pharmaceutical giant Novartis announced a partnership to develop an AI-powered digital health tool to be deployed against one of humanity’s oldest scourges — leprosy, which still afflicts 200,000 new patients annually. Around the world, artificial intelligence is being touted as the next big thing in health care, and a potential game-changer for billions living in regions where medical infrastructure is inadequate and doctors and nurses scarce. Despite that potential, some fear that too-rosy views of AI’s promise will lead to disappointment and, worse, rob scarce health care dollars from desperately needed investments in existing medical infrastructure. Experts in AI and global health gathered at Harvard this week to survey the complex artificial intelligence-global health landscape, examine what’s being done today and what’s promised for tomorrow, and try to separate reality from fantasy when it comes to AI’s potential impact on global health. “The promise of AI is enormous, but the challenges are often glossed over,” said Ashish Jha, faculty director of Harvard Global Health Institute (HGHI). “We have this sense that they’ll somehow take care of themselves. And we know they will not.” About 50 experts in the use of artificial intelligence and other digital health care technologies gathered at Loeb House for an all-day symposium on “Hype vs. Reality: The Role of AI in Global Health,” sponsored by HGHI. It featured talks by representatives from academia, health care, and industry, including Google AI and the pharmaceutical giant Novartis. Principals also spoke for startups Aindra Systems, which uses AI to rapidly analyze pap smears for evidence of cervical cancer, and Ubenwa, which has developed an AI-based system to analyze infant cries to detect birth asphyxia, a leading killer of children under 5 that’s traditionally diagnosed through time-consuming blood tests and lab analyses. Despite the symposium’s cautionary tone, several speakers described AI’s potentially far-reaching effects on global health. Image analysis, a key aspect of disease screening and diagnosis, is an area ripe for rapid change. Lily Peng, product manager for Google AI, described Google’s work on diabetic retinopathy. The company’s researchers used a “deep learning” algorithm that reviewed thousands of images of both normal and damaged eyes and developed a screening tool for the condition — a side effect of poorly controlled diabetes — that performed as well as trained ophthalmologists. That tool, and similar ones for other conditions, can provide valuable screening and referral services in rural areas that have little medical infrastructure. Their promise is of a future where initial screening can be guided by community health workers — far more numerous than trained physicians — who can then refer those who test positive to clinics and hospitals staffed with better-trained medical personnel. But the question remained: How effectively would such interventions perform in the field? During a Q&A session, one participant described a device developed by an engineer in Cameroon to diagnose cardiac problems in remote areas. The device was designed to be used by rural nurses who could send results to city-based cardiologists for review. Problems occurred, however, because the nurses entered data in the wrong fields, spotty internet connections made it hard to transmit the data, and finally, when the information made it to the city, the cardiologists were often too busy to examine it. Adam Landman, chief information officer at Brigham and Women’s Hospital and an associate professor of emergency medicine at Harvard Medical School, said it’s important that AI not be viewed as a solution in search of a problem, but that the health care outcomes be considered first and AI considered as one tool among others to address it. “The key with any technology — and AI is just one of them — is it needs to actually solve a health care [problem],” Landman said. “The need [should] drive the use of it and not the technology drive the use. They may not need AI to start. In fact, they may not need any technology to start. They may need more people, more health care workers. There may be other things to invest in before technology, or technology may be part of that solution.” About 50 experts in the use of artificial intelligence and other digital health care technologies gathered at Loeb House for the all-day symposium. Ann Aerts, head of Novartis Foundation, said severe shortages of doctors and nurses in some parts of the world demand innovative approaches to health care. Technology has already transformed the way medicine is practiced in some resource-poor settings. In Ghana, a telehealth pilot has evolved into a national telehealth program that keeps a center staffed 24 hours a day, seven days a week, with doctors, nurses, and health workers. The program isn’t a substitute for skilled medical care, but Aerts said that about 70 percent of all health care problems can be solved over the phone. The program highlights how innovative solutions can be found to the health care shortage that is a fact of life in many parts of the world. “This calls for innovating the way we deliver health services, for transforming our health systems,” Aerts said. “We cannot go back to the old model. It doesn’t work. … Let’s look at how we can reimagine the way we deliver health services.” John Halamka, chief information officer at Beth Israel Deaconess Medical Center and the International Healthcare Innovation Professor of Emergency Medicine at Harvard Medical School, said that AI has the potential not only to meet needs where care is scarce, but also to improve care and reduce errors where doctors and nurses are present. He told of a woman who visited a doctor in northern India because of abdominal pain. She was incorrectly diagnosed and paid for repeated testing and physician visits. Ultimately, she was forced her to sell her house and cow, impoverishing her family. She was finally diagnosed correctly with abdominal tuberculosis, a condition that might rarely be seen in the U.S., but ought to have been considered much sooner in India, which has 1.3 million active cases of tuberculosis, Halamka said. Halamka consulted on another case, in Bakersfield, California, that shows the problem is not restricted to the developing world. A young woman was arrested for running naked through a Walmart parking lot at 3 a.m. When Halamka called to talk to the emergency room physician, he was told that the young woman’s urine had tested positive for cannabis, so he had discharged her. “And of course all of us in this room know that cannabis consumption results in young women running naked through parking lots at 3 in the morning — never,” Halamka said. “We flew her to Logan [International Airport], brought her to Beth Israel Deaconess … [and she had] the worst case of meningitis any of us had ever seen. Again thinking back on AI, if we had [it trained by the experiences of] a million young women with altered mental status, how many would include cannabis as the primary cause? Probably, again, none. But in a person who lives with a lot of other 20-year-olds who have lots of infectious diseases, what are the chances of meningitis? Actually, pretty significant.” Halamka said that artificial intelligence and machine learning has progressed rapidly since the late 1990s, when it took six months of work to get AI to recognize a giraffe as a mammal. Today, he said, designing an AI algorithm itself is relatively easy, but algorithms have to be trained on large amounts of data from past cases, and it can be challenging to ensure that data is available, appropriate, and unbiased. “Gathering and curating good-quality data, unbiased data, and using it to train these algorithms is still a challenge,” Halamka said. “The quality of our data is poor. We get social security numbers wrong 11 percent of the time. We even get gender wrong 3 percent of the time. Men have babies, women have prostatectomies. We need to work on curated data sets if we’re going to be successful with AI.” Designers of AI health care applications, Aerts and other speakers said, should also guard against AI becoming a benefit solely for the rich, a factor that increases inequality instead of helping close the gap between haves and have-nots. Ashley Nunes, a fellow at Harvard Law School, said there’s a perception that AI will cut health care costs, making it more affordable for the poor, but there’s no guarantee that will happen. Nunes pointed to self-driving cars, which are projected to make roads safer. Accident data show the poor suffer the most physical and economic harm from road accidents, so hypothetically they could see the most benefit. But the added cost of the driverless technology means it will likely disproportionately benefit wealthier drivers, highlighting how important it is to ensure that tech solutions in health care benefit everyone. Jha said he looks forward to a time when AI is just another tool in the health care toolbox. “The whole idea of digital health reminds me that about 20 years ago we used to talk about e-commerce,” he said. “We don’t talk about e-commerce anymore; we just talk about commerce.”"
Great promise but potential for peril,https://news.harvard.edu/gazette/story/2020/10/ethical-concerns-mount-as-ai-takes-bigger-decision-making-role/,2020-10-26,Harvard Gazette,"Illustration by Ben Boothman Christina Pazzanese Harvard Staff Writer Second in a four-part series that taps the expertise of the Harvard community to examine the promise and potential pitfalls of the rising age of artificial intelligence and machine learning, and how to humanize them. For decades, artificial intelligence, or AI, was the engine of high-level STEM research. Most consumers became aware of the technology’s power and potential through internet platforms like Google and Facebook, and retailer Amazon. Today, AI is essential across a vast array of industries, including health care, banking, retail, and manufacturing. But its game-changing promise to do things like improve efficiency, bring down costs, and accelerate research and development has been tempered of late with worries that these complex, opaque systems may do more societal harm than economic good. With virtually no U.S. government oversight, private companies use AI software to make determinations about health and medicine, employment, creditworthiness, and even criminal justice without having to answer for how they’re ensuring that programs aren’t encoded, consciously or unconsciously, with structural biases. Its growing appeal and utility are undeniable. Worldwide business spending on AI is expected to hit $50 billion this year and $110 billion annually by 2024, even after the global economic slump caused by the COVID-19 pandemic, according to a forecast released in August by technology research firm IDC. Retail and banking industries spent the most this year, at more than $5 billion each. The company expects the media industry and federal and central governments will invest most heavily between 2018 and 2023 and predicts that AI will be “the disrupting influence changing entire industries over the next decade.” “Virtually every big company now has multiple AI systems and counts the deployment of AI as integral to their strategy,” said Joseph Fuller, professor of management practice at Harvard Business School, who co-leads Managing the Future of Work, a research project that studies, in part, the development and implementation of AI, including machine learning, robotics, sensors, and industrial automation, in business and the work world. Early on, it was popularly assumed that the future of AI would involve the automation of simple repetitive tasks requiring low-level decision-making. But AI has rapidly grown in sophistication, owing to more powerful computers and the compilation of huge data sets. One branch, machine learning, notable for its ability to sort and analyze massive amounts of data and to learn over time, has transformed countless fields, including education. Firms now use AI to manage sourcing of materials and products from suppliers and to integrate vast troves of information to aid in strategic decision-making, and because of its capacity to process data so quickly, AI tools are helping to minimize time in the pricey trial-and-error of product development — a critical advance for an industry like pharmaceuticals, where it costs $1 billion to bring a new pill to market, Fuller said. Health care experts see many possible uses for AI, including with billing and processing necessary paperwork. And medical professionals expect that the biggest, most immediate impact will be in analysis of data, imaging, and diagnosis. Imagine, they say, having the ability to bring all of the medical knowledge available on a disease to any given treatment decision. In employment, AI software culls and processes resumes and analyzes job interviewees’ voice and facial expressions in hiring and driving the growth of what’s known as “hybrid” jobs. Rather than replacing employees, AI takes on important technical tasks of their work, like routing for package delivery trucks, which potentially frees workers to focus on other responsibilities, making them more productive and therefore more valuable to employers.  “It’s allowing them to do more stuff better, or to make fewer errors, or to capture their expertise and disseminate it more effectively in the organization,” said Fuller, who has studied the effects and attitudes of workers who have lost or are likeliest to lose their jobs to AI. — Michael Sandel, political philosopher and Anne T. and Robert M. Bass Professor of Government Though automation is here to stay, the elimination of entire job categories, like highway toll-takers who were replaced by sensors because of AI’s proliferation, is not likely, according to Fuller. “What we’re going to see is jobs that require human interaction, empathy, that require applying judgment to what the machine is creating [will] have robustness,” he said. While big business already has a huge head start, small businesses could also potentially be transformed by AI, says Karen Mills ’75, M.B.A. ’77, who ran the U.S. Small Business Administration from 2009 to 2013. With half the country employed by small businesses before the COVID-19 pandemic, that could have major implications for the national economy over the long haul. Rather than hamper small businesses, the technology could give their owners detailed new insights into sales trends, cash flow, ordering, and other important financial information in real time so they can better understand how the business is doing and where problem areas might loom without having to hire anyone, become a financial expert, or spend hours laboring over the books every week, Mills said. One area where AI could “completely change the game” is lending, where access to capital is difficult in part because banks often struggle to get an accurate picture of a small business’s viability and creditworthiness. “It’s much harder to look inside a business operation and know what’s going on” than it is to assess an individual, she said. Information opacity makes the lending process laborious and expensive for both would-be borrowers and lenders, and applications are designed to analyze larger companies or those who’ve already borrowed, a built-in disadvantage for certain types of businesses and for historically underserved borrowers, like women and minority business owners, said Mills, a senior fellow at HBS. But with AI-powered software pulling information from a business’s bank account, taxes, and online bookkeeping records and comparing it with data from thousands of similar businesses, even small community banks will be able to make informed assessments in minutes, without the agony of paperwork and delays, and, like blind auditions for musicians, without fear that any inequity crept into the decision-making. “All of that goes away,” she said. Not everyone sees blue skies on the horizon, however. Many worry whether the coming age of AI will bring new, faster, and frictionless ways to discriminate and divide at scale. “Part of the appeal of algorithmic decision-making is that it seems to offer an objective way of overcoming human subjectivity, bias, and prejudice,” said political philosopher Michael Sandel, Anne T. and Robert M. Bass Professor of Government. “But we are discovering that many of the algorithms that decide who should get parole, for example, or who should be presented with employment opportunities or housing … replicate and embed the biases that already exist in our society.” — Karen Mills, senior fellow at the Business School and head of the U.S. Small Business Administration from 2009 to 2013 AI presents three major areas of ethical concern for society: privacy and surveillance, bias and discrimination, and perhaps the deepest, most difficult philosophical question of the era, the role of human judgment, said Sandel, who teaches a course in the moral, social, and political implications of new technologies. “Debates about privacy safeguards and about how to overcome bias in algorithmic decision-making in sentencing, parole, and employment practices are by now familiar,” said Sandel, referring to conscious and unconscious prejudices of program developers and those built into datasets used to train the software. “But we’ve not yet wrapped our minds around the hardest question: Can smart machines outthink us, or are certain elements of human judgment indispensable in deciding some of the most important things in life?” Panic over AI suddenly injecting bias into everyday life en masse is overstated, says Fuller. First, the business world and the workplace, rife with human decision-making, have always been riddled with “all sorts” of biases that prevent people from making deals or landing contracts and jobs. When calibrated carefully and deployed thoughtfully, resume-screening software allows a wider pool of applicants to be considered than could be done otherwise, and should minimize the potential for favoritism that comes with human gatekeepers, Fuller said. Sandel disagrees. “AI not only replicates human biases, it confers on these biases a kind of scientific credibility. It makes it seem that these predictions and judgments have an objective status,” he said. In the world of lending, algorithm-driven decisions do have a potential “dark side,” Mills said. As machines learn from data sets they’re fed, chances are “pretty high” they may replicate many of the banking industry’s past failings that resulted in systematic disparate treatment of African Americans and other marginalized consumers. “If we’re not thoughtful and careful, we’re going to end up with redlining again,” she said. A highly regulated industry, banks are legally on the hook if the algorithms they use to evaluate loan applications end up inappropriately discriminating against classes of consumers, so those “at the top levels” in the field are “very focused” right now on this issue, said Mills, who closely studies the rapid changes in financial technology, or “fintech.” “They really don’t want to discriminate. They want to get access to capital to the most creditworthy borrowers,” she said. “That’s good business for them, too.” Given its power and expected ubiquity, some argue that the use of AI should be tightly regulated. But there’s little consensus on how that should be done and who should make the rules. Thus far, companies that develop or use AI systems largely self-police, relying on existing laws and market forces, like negative reactions from consumers and shareholders or the demands of highly-prized AI technical talent to keep them in line. “There’s no businessperson on the planet at an enterprise of any size that isn’t concerned about this and trying to reflect on what’s going to be politically, legally, regulatorily, [or] ethically acceptable,” said Fuller. Firms already consider their own potential liability from misuse before a product launch, but it’s not realistic to expect companies to anticipate and prevent every possible unintended consequence of their product, he said. Few think the federal government is up to the job, or will ever be. “The regulatory bodies are not equipped with the expertise in artificial intelligence to engage in [oversight] without some real focus and investment,” said Fuller, noting the rapid rate of technological change means even the most informed legislators can’t keep pace. Requiring every new product using AI to be prescreened for potential social harms is not only impractical, but would create a huge drag on innovation. — Jason Furman, a professor of the practice of economic policy at the Kennedy School and a former top economic adviser to President Barack Obama Jason Furman, a professor of the practice of economic policy at Harvard Kennedy School, agrees that government regulators need “a much better technical understanding of artificial intelligence to do that job well,” but says they could do it. Existing bodies like the National Highway Transportation Safety Association, which oversees vehicle safety, for example, could handle potential AI issues in autonomous vehicles rather than a single watchdog agency, he said. “I wouldn’t have a central AI group that has a division that does cars, I would have the car people have a division of people who are really good at AI,” said Furman, a former top economic adviser to President Barack Obama. Though keeping AI regulation within industries does leave open the possibility of co-opted enforcement, Furman said industry-specific panels would be far more knowledgeable about the overarching technology of which AI is simply one piece, making for more thorough oversight. While the European Union already has rigorous data-privacy laws and the European Commission is considering a formal regulatory framework for ethical use of AI, the U.S. government has historically been late when it comes to tech regulation. “I think we should’ve started three decades ago, but better late than never,” said Furman, who thinks there needs to be a “greater sense of urgency” to make lawmakers act. Business leaders “can’t have it both ways,” refusing responsibility for AI’s harmful consequences while also fighting government oversight, Sandel maintains. “The problem is these big tech companies are neither self-regulating, nor subject to adequate government regulation. I think there needs to be more of both,” he said, later adding: “We can’t assume that market forces by themselves will sort it out. That’s a mistake, as we’ve seen with Facebook and other tech giants.” Last fall, Sandel taught “Tech Ethics,” a popular new Gen Ed course with Doug Melton, co-director of Harvard’s Stem Cell Institute. As in his legendary “Justice” course, students consider and debate the big questions about new technologies, everything from gene editing and robots to privacy and surveillance. “Companies have to think seriously about the ethical dimensions of what they’re doing and we, as democratic citizens, have to educate ourselves about tech and its social and ethical implications — not only to decide what the regulations should be, but also to decide what role we want big tech and social media to play in our lives,” said Sandel. Doing that will require a major educational intervention, both at Harvard and in higher education more broadly, he said. “We have to enable all students to learn enough about tech and about the ethical implications of new technologies so that when they are running companies or when they are acting as democratic citizens, they will be able to ensure that technology serves human purposes rather than undermines a decent civic life.” Next: The AI revolution in medicine may lift personalized treatment, fill gaps in access to care, and cut red tape. Yet risks abound."
